cluster,memberCount
ExpressionStatement-3-0-0,539
ExpressionStatement-4-3-0,200
VariableDeclarationStatement-3-0-0,191
FieldDeclaration-2-0-0,185
FieldDeclaration-6-0-0,182
FieldDeclaration-8-0-0,158
ExpressionStatement-2-0-0,148
ExpressionStatement-2-0-1,134
VariableDeclarationStatement-5-2-0,114
VariableDeclarationStatement-2-0-0,109
MethodDeclaration-2-0-0,106
VariableDeclarationStatement-7-0-0,105
FieldDeclaration-3-0-0,99
ExpressionStatement-5-6-0,96
VariableDeclarationStatement-4-0-0,90
IfStatement-6-0-0,81
ExpressionStatement-2-0-2,77
ExpressionStatement-7-1-0,72
SwitchCase-2-0-0,70
MethodDeclaration-2-0-1,66
ReturnStatement-2-0-0,62
TypeDeclaration-5-0-0,61
ReturnStatement-2-0-1,61
FieldDeclaration-2-0-1,60
FieldDeclaration-5-2-0,56
ReturnStatement-2-0-3,56
CatchClause-3-0-0,54
MethodDeclaration-14-0-0,53
ExpressionStatement-2-0-3,52
FieldDeclaration-11-0-0,48
ReturnStatement-3-3-0,46
IfStatement-5-3-0,46
VariableDeclarationStatement-7-0-2,45
ReturnStatement-2-0-2,45
TypeDeclaration-2-1-1,44
MethodDeclaration-6-2-0,44
ReturnStatement-4-2-0,42
VariableDeclarationStatement-7-0-3,42
ThrowStatement-4-0-0,41
MethodDeclaration-2-0-2,36
ExpressionStatement-5-6-1,35
VariableDeclarationStatement-4-0-1,35
VariableDeclarationStatement-11-0-0,30
TypeDeclaration-4-0-0,30
IfStatement-3-1-0,30
VariableDeclarationStatement-5-2-2,30
ThrowStatement-3-1-0,30
MethodDeclaration-4-1-0,29
VariableDeclarationStatement-7-0-6,28
FieldDeclaration-9-0-1,28
ReturnStatement-4-2-1,28
VariableDeclarationStatement-7-0-1,27
SwitchCase-4-0-0,27
TypeDeclaration-2-1-0,26
SwitchCase-2-0-1,26
MethodDeclaration-3-2-0,26
IfStatement-5-3-1,25
FieldDeclaration-7-4-0,24
FieldDeclaration-2-0-2,24
FieldDeclaration-10-0-0,23
ExpressionStatement-5-6-4,22
FieldDeclaration-6-0-1,22
ExpressionStatement-5-6-2,21
VariableDeclarationStatement-5-2-1,21
ReturnStatement-2-0-4,21
VariableDeclarationStatement-7-0-5,20
VariableDeclarationStatement-2-0-1,20
IfStatement-4-4-0,20
ExpressionStatement-2-0-5,19
FieldDeclaration-8-0-1,19
MethodDeclaration-11-1-0,18
ReturnStatement-2-0-6,18
ExpressionStatement-6-2-0,17
ExpressionStatement-5-6-3,16
VariableDeclarationStatement-5-2-4,16
MethodDeclaration-13-0-0,16
ExpressionStatement-2-0-8,15
SwitchCase-2-0-2,15
ExpressionStatement-6-2-2,15
FieldDeclaration-5-2-1,15
ExpressionStatement-3-0-1,15
ReturnStatement-2-0-5,14
TypeDeclaration-2-1-2,14
ExpressionStatement-2-0-10,14
VariableDeclarationStatement-11-0-1,14
ExpressionStatement-4-3-1,14
VariableDeclarationStatement-10-3-0,14
ExpressionStatement-6-2-3,14
VariableDeclarationStatement-5-2-3,14
ExpressionStatement-2-0-6,13
VariableDeclarationStatement-7-0-9,13
TryStatement-7-0-0,13
ExpressionStatement-2-0-4,13
EnhancedForStatement-2-0-1,12
IfStatement-8-5-0,12
VariableDeclarationStatement-7-0-4,12
IfStatement-7-5-1,11
VariableDeclarationStatement-8-11-1,11
TryStatement-46-0-0,11
ThrowStatement-2-0-0,11
ThrowStatement-5-2-1,11
SynchronizedStatement-4-0-0,11
SynchronizedStatement-2-0-0,11
TypeDeclaration-3-1-0,11
ExpressionStatement-9-2-0,11
TypeDeclaration-5-0-1,10
TryStatement-2-0-0,10
ReturnStatement-7-4-0,9
IfStatement-9-0-2,9
CatchClause-6-2-0,9
EnhancedForStatement-5-1-0,9
VariableDeclarationStatement-4-0-4,9
VariableDeclarationStatement-4-0-3,9
MethodDeclaration-17-0-0,9
ReturnStatement-2-0-7,9
MethodDeclaration-4-1-1,8
ThrowStatement-6-0-0,8
IfStatement-13-3-0,8
VariableDeclarationStatement-6-3-0,8
MethodDeclaration-7-2-0,8
ThrowStatement-2-0-1,8
TypeDeclaration-6-0-0,8
ExpressionStatement-6-2-1,8
EnhancedForStatement-3-0-0,8
ExpressionStatement-2-0-9,8
FieldDeclaration-12-0-0,8
VariableDeclarationStatement-4-0-6,7
ReturnStatement-6-2-0,7
CatchClause-4-0-1,7
ExpressionStatement-6-2-5,7
IfStatement-4-4-1,7
FieldDeclaration-13-0-0,7
ReturnStatement-4-2-2,7
