cluster,memberCount
ExpressionStatement-4-0,579
ExpressionStatement-3-0,569
ExpressionStatement-2-0,524
ExpressionStatement-5-0,479
ExpressionStatement-4-2,342
VariableDeclarationStatement-7-0,317
ReturnStatement-2-0,291
FieldDeclaration-2-0,269
ExpressionStatement-4-3,222
VariableDeclarationStatement-5-2,215
FieldDeclaration-5-0,213
FieldDeclaration-6-0,210
MethodDeclaration-2-0,208
ExpressionStatement-5-6,204
VariableDeclarationStatement-3-0,199
VariableDeclarationStatement-5-1,198
VariableDeclarationStatement-5-6,198
FieldDeclaration-8-0,180
VariableDeclarationStatement-4-0,175
ExpressionStatement-5-3,162
VariableDeclarationStatement-5-0,147
VariableDeclarationStatement-4-2,140
VariableDeclarationStatement-2-2,136
VariableDeclarationStatement-2-0,129
ReturnStatement-2-1,122
ExpressionStatement-3-1,118
ExpressionStatement-5-7,117
ReturnStatement-3-0,112
SwitchCase-2-0,112
VariableDeclarationStatement-3-1,112
ExpressionStatement-5-5,108
VariableDeclarationStatement-8-0,106
FieldDeclaration-3-0,106
VariableDeclarationStatement-5-3,105
ExpressionStatement-5-4,102
ReturnStatement-2-3,97
IfStatement-6-0,92
ReturnStatement-2-2,89
IfStatement-6-2,89
ExpressionStatement-4-7,88
ExpressionStatement-7-0,88
ExpressionStatement-6-0,86
ExpressionStatement-7-2,85
VariableDeclarationStatement-5-5,85
ReturnStatement-4-2,84
TypeDeclaration-2-1,84
ExpressionStatement-5-10,81
FieldDeclaration-6-2,81
ExpressionStatement-5-9,80
ExpressionStatement-6-2,79
IfStatement-5-3,78
FieldDeclaration-6-1,76
FieldDeclaration-8-2,76
ExpressionStatement-5-2,76
VariableDeclarationStatement-7-2,76
VariableDeclarationStatement-7-1,75
ExpressionStatement-4-1,75
MethodDeclaration-2-2,75
TypeDeclaration-5-0,74
IfStatement-6-1,73
ExpressionStatement-7-1,73
ExpressionStatement-7-3,72
FieldDeclaration-5-2,72
ExpressionStatement-7-7,71
MethodDeclaration-2-1,71
MethodDeclaration-6-0,69
MethodDeclaration-4-0,66
FieldDeclaration-3-1,65
ExpressionStatement-5-1,65
ExpressionStatement-4-4,64
ExpressionStatement-4-8,62
VariableDeclarationStatement-3-2,61
TypeDeclaration-4-1,60
IfStatement-7-0,58
ReturnStatement-3-1,56
ReturnStatement-4-1,56
VariableDeclarationStatement-8-6,56
VariableDeclarationStatement-8-1,56
ExpressionStatement-7-9,55
MethodDeclaration-14-0,55
VariableDeclarationStatement-11-0,55
CatchClause-3-0,54
FieldDeclaration-11-0,54
ExpressionStatement-5-12,53
ExpressionStatement-5-13,53
VariableDeclarationStatement-5-8,53
TypeDeclaration-2-0,47
ExpressionStatement-6-3,47
MethodDeclaration-6-2,47
IfStatement-3-0,46
ReturnStatement-3-3,46
IfStatement-5-2,45
ExpressionStatement-4-11,45
VariableDeclarationStatement-8-5,44
ExpressionStatement-4-9,44
ExpressionStatement-6-12,43
ExpressionStatement-2-1,42
VariableDeclarationStatement-4-1,42
VariableDeclarationStatement-7-3,42
ExpressionStatement-6-8,42
ThrowStatement-4-0,41
MethodDeclaration-14-1,41
ExpressionStatement-5-15,40
ExpressionStatement-6-4,39
VariableDeclarationStatement-2-1,38
VariableDeclarationStatement-4-3,38
ThrowStatement-5-0,37
MethodDeclaration-4-1,37
FieldDeclaration-9-0,37
VariableDeclarationStatement-3-4,36
ExpressionStatement-4-5,36
ExpressionStatement-7-8,36
VariableDeclarationStatement-5-10,36
VariableDeclarationStatement-5-9,36
VariableDeclarationStatement-9-1,36
VariableDeclarationStatement-8-4,35
IfStatement-3-1,35
ExpressionStatement-7-4,35
IfStatement-10-0,35
TypeDeclaration-4-0,34
ExpressionStatement-6-11,34
ExpressionStatement-7-14,33
ReturnStatement-3-4,32
ExpressionStatement-8-7,32
IfStatement-2-0,31
ExpressionStatement-4-10,31
FieldDeclaration-4-0,31
VariableDeclarationStatement-7-4,31
ThrowStatement-3-1,30
ExpressionStatement-5-11,30
FieldDeclaration-11-2,30
ThrowStatement-4-1,29
MethodDeclaration-7-0,29
ThrowStatement-3-0,29
MethodDeclaration-3-0,29
ExpressionStatement-8-3,29
ExpressionStatement-9-0,29
VariableDeclarationStatement-3-6,29
IfStatement-7-2,28
MethodDeclaration-8-0,28
IfStatement-4-4,28
VariableDeclarationStatement-6-0,28
SwitchCase-4-0,28
IfStatement-3-2,28
ExpressionStatement-5-31,28
VariableDeclarationStatement-5-11,28
FieldDeclaration-6-3,28
FieldDeclaration-7-4,28
ExpressionStatement-4-13,27
IfStatement-7-5,27
ExpressionStatement-8-2,27
FieldDeclaration-7-3,27
FieldDeclaration-2-1,27
IfStatement-6-4,26
ThrowStatement-2-0,26
MethodDeclaration-3-2,26
FieldDeclaration-5-1,26
FieldDeclaration-5-7,26
MethodDeclaration-2-3,25
VariableDeclarationStatement-7-5,25
IfStatement-7-1,25
ReturnStatement-2-4,25
VariableDeclarationStatement-5-16,25
VariableDeclarationStatement-9-5,25
VariableDeclarationStatement-8-2,24
SwitchCase-2-1,24
FieldDeclaration-10-0,24
VariableDeclarationStatement-5-12,24
ExpressionStatement-5-22,24
