cluster,memberCount
VariableDeclarationStatement-2-0-0-0,108
FieldDeclaration-2-0-0-1,81
ExpressionStatement-2-0-2-0,66
IfStatement-6-0-0-0,65
FieldDeclaration-2-0-0-2,50
FieldDeclaration-2-0-0-0,33
ExpressionStatement-3-0-0-2,32
MethodDeclaration-2-0-1-3,24
MethodDeclaration-2-0-1-0,17
CatchClause-3-0-0-0,15
SwitchCase-2-0-1-0,13
ExpressionStatement-3-0-0-8,13
FieldDeclaration-2-0-0-3,12
ExpressionStatement-3-0-0-4,12
MethodDeclaration-2-0-1-1,12
TypeDeclaration-2-1-1-0,10
ExpressionStatement-3-0-0-0,9
ExpressionStatement-3-0-0-1,9
VariableDeclarationStatement-10-3-0-0,8
ExpressionStatement-4-3-0-0,8
TryStatement-46-0-0-0,8
ExpressionStatement-3-0-0-6,8
ReturnStatement-2-0-2-1,8
ThrowStatement-6-0-0-0,8
ExpressionStatement-3-0-0-9,8
ExpressionStatement-3-0-0-3,7
VariableDeclarationStatement-5-2-4-0,7
ExpressionStatement-3-0-0-13,7
ThrowStatement-3-1-0-0,6
ExpressionStatement-5-6-0-1,6
TryStatement-21-0-0-0,6
ExpressionStatement-2-0-2-1,6
IfStatement-6-0-0-1,6
FieldDeclaration-2-0-0-5,6
VariableDeclarationStatement-19-1-0-0,6
SwitchCase-3-0-0-0,6
ExpressionStatement-3-0-0-12,6
MethodDeclaration-2-0-1-2,6
SynchronizedStatement-4-0-0-0,6
CatchClause-11-0-0-0,6
ReturnStatement-6-2-0-0,5
MethodDeclaration-3-2-0-0,5
ExpressionStatement-3-0-0-28,5
ExpressionStatement-5-6-0-0,5
ExpressionStatement-3-0-0-11,5
VariableDeclarationStatement-11-0-1-0,5
ExpressionStatement-6-2-4-0,5
ExpressionStatement-3-0-0-15,5
ExpressionStatement-13-11-0-0,5
ExpressionStatement-5-6-0-2,4
ExpressionStatement-3-0-0-27,4
MethodDeclaration-23-0-0-0,4
ExpressionStatement-3-0-0-20,4
ExpressionStatement-3-0-0-7,4
ReturnStatement-2-0-2-0,4
ExpressionStatement-3-0-0-31,4
MethodDeclaration-2-0-1-4,4
ReturnStatement-7-4-0-0,4
CatchClause-3-0-0-2,4
CatchClause-3-0-0-4,4
FieldDeclaration-9-0-0-0,4
