Group,Subject,Repo,GitRepo,Branch
Apache,CAMEL,camel,https://github.com/apache/camel.git,master
Apache,HBASE,hbase,https://github.com/apache/hbase.git,master
Apache,HIVE,hive,https://github.com/apache/hive.git,master
Commons,CODEC,commons-codec,https://github.com/apache/commons-codec.git,trunk
Commons,COLLECTIONS,commons-collections,https://github.com/apache/commons-collections.git,master
Commons,COMPRESS,commons-compress,https://github.com/apache/commons-compress.git,master
Commons,CONFIGURATION,commons-configuration,https://github.com/apache/commons-configuration.git,trunk
Commons,CRYPTO,commons-crypto,https://github.com/apache/commons-crypto.git,master
Commons,CSV,commons-csv,https://github.com/apache/commons-csv.git,master
Commons,IO,commons-io,https://github.com/apache/commons-io.git,master
Commons,WEAVER,commons-weaver,https://github.com/apache/commons-weaver.git,master
JBoss,ENTESB,fuse,https://github.com/jboss-fuse/fuse.git,6.3.0.redhat
JBoss,JBMETA,metadata,https://github.com/jboss/metadata.git,master
Wildfly,ELY,wildfly-elytron,https://github.com/wildfly-security/wildfly-elytron.git,master
Wildfly,SWARM,wildfly-swarm,https://github.com/wildfly-swarm/wildfly-swarm.git,master
Wildfly,WFARQ,wildfly-arquillian,https://github.com/wildfly/wildfly-arquillian.git,master
Wildfly,WFCORE,wildfly-core,https://github.com/wildfly/wildfly-core.git,master
Wildfly,WFLY,wildfly,https://github.com/wildfly/wildfly.git,master
Wildfly,WFMP,wildfly-maven-plugin,https://github.com/wildfly/wildfly-maven-plugin.git,master
Spring,AMQP,spring-amqp,https://github.com/spring-projects/spring-amqp,master
Spring,ANDROID,spring-android,https://github.com/spring-projects/spring-android,master
Spring,BATCH,spring-batch,https://github.com/spring-projects/spring-batch,master
Spring,BATCHADM,spring-batch-admin,https://github.com/spring-projects/spring-batch-admin,master
Spring,DATACMNS,spring-data-commons,https://github.com/spring-projects/spring-data-commons,master
Spring,DATAGRAPH,spring-data-neo4j,https://github.com/spring-projects/spring-data-neo4j,master
Spring,DATAJPA,spring-data-jpa,https://github.com/spring-projects/spring-data-jpa,master
Spring,DATAMONGO,spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,master
Spring,DATAREDIS,spring-data-redis,https://github.com/spring-projects/spring-data-redis,master
Spring,DATAREST,spring-data-rest,https://github.com/spring-projects/spring-data-rest,master
Spring,LDAP,spring-ldap,https://github.com/spring-projects/spring-ldap,master
Spring,MOBILE,spring-mobile,https://github.com/spring-projects/spring-mobile,master
Spring,ROO,spring-roo,https://github.com/spring-projects/spring-roo,master
Spring,SEC,spring-security,https://github.com/spring-projects/spring-security,master
Spring,SECOAUTH,spring-security-oauth,https://github.com/spring-projects/spring-security-oauth,master
Spring,SGF,spring-data-gemfire,https://github.com/spring-projects/spring-data-gemfire,master
Spring,SHDP,spring-hadoop,https://github.com/spring-projects/spring-hadoop,master
Spring,SHL,spring-shell,https://github.com/spring-projects/spring-shell,master
Spring,SOCIAL,spring-social,https://github.com/spring-projects/spring-social,master
Spring,SOCIALFB,spring-social-facebook,https://github.com/spring-projects/spring-social-facebook,master
Spring,SOCIALLI,spring-social-linkedin,https://github.com/spring-projects/spring-social-linkedin,master
Spring,SOCIALTW,spring-social-twitter,https://github.com/spring-projects/spring-social-twitter,master
Spring,SPR,spring-framework,https://github.com/spring-projects/spring-framework,master
Spring,SWF,spring-webflow,https://github.com/spring-projects/spring-webflow,master
Spring,SWS,spring-ws,https://github.com/spring-projects/spring-ws,master


