repo,bid
camel,1366
closure-compiler.git,0
commons-codec,11
commons-collections,56
commons-compress,73
commons-configuration,89
commons-crypto,9
commons-csv,18
commons-io,58
commons-lang,129
commons-lang.git,0
commons-math,157
commons-math.git,0
fuse,15
hbase,2169
hive,2641
metadata,14
mockito.git,0
spring-amqp,89
spring-android,5
spring-batch,224
spring-batch-admin,11
spring-data-commons,151
spring-data-gemfire,35
spring-data-jpa,112
spring-data-mongodb,190
spring-data-neo4j,19
spring-data-redis,65
spring-data-rest,91
spring-framework,1098
spring-hadoop,35
spring-ldap,26
spring-mobile,11
spring-roo,414
spring-security,304
spring-security-oauth,66
spring-shell,11
spring-social,14
spring-social-facebook,12
spring-social-linkedin,2
spring-social-twitter,9
spring-webflow,84
spring-ws,101
wildfly,802
wildfly-arquillian,8
wildfly-core,547
wildfly-elytron,217
wildfly-maven-plugin,13
wildfly-swarm,131
